id_ubicacion,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad
115,2,Baja California,7,San Felipe                                                                  ,202,Playa de Oro                                                                                                  
116,2,Baja California,4,Tijuana,1919,San Marino                                                                                                    
117,2,Baja California,2,Mexicali,195,Ejido Miguel Hidalgo                                                                                          
118,2,Baja California,4,Tijuana,1351,San Antonio                                                                                                   
119,2,Baja California,3,Tecate,89,Paso del Águila                                                                                               
120,2,Baja California,2,Mexicali,2329,Familia Madrigal (Ejido Morelia)                                                                              
121,2,Baja California,4,Tijuana,1813,Hacienda del Mar                                                                                              
122,2,Baja California,4,Tijuana,1254,La Puerta de Alcalá                                                                                           
123,2,Baja California,6,San Quintín,823,Santa Fe                                                                                                      
124,2,Baja California,2,Mexicali,3108,El Caracol (Andrade Ejido Nuevo León)                                                                         
125,2,Baja California,5,Playas de Rosarito,25,Santa Anita                                                                                                   
126,2,Baja California,2,Mexicali,103,Ejido Licenciado Adolfo López Mateos                                                                          
127,2,Baja California,1,Ensenada,935,Lázaro Cárdenas (Valle de la Trinidad)                                                                        
128,2,Baja California,5,Playas de Rosarito,89,Primo Tapia                                                                                                   
129,2,Baja California,1,Ensenada,4488,Adobe Guadalupe                                                                                               
130,2,Baja California,1,Ensenada,657,Rancho Viejo                                                                                                  
131,2,Baja California,4,Tijuana,1421,Parajes del Valle                                                                                             
132,2,Baja California,5,Playas de Rosarito,230,Vista Marina                                                                                                  
133,2,Baja California,5,Playas de Rosarito,218,Los Volcanes                                                                                                  
134,2,Baja California,3,Tecate,26,Cañada Verde                                                                                                  
135,2,Baja California,3,Tecate,1824,Tecate Gateway                                                                                                
136,2,Baja California,6,San Quintín,248,Emiliano Zapata                                                                                               
137,2,Baja California,3,Tecate,155,Luis Echeverría Álvarez (El Hongo)                                                                            
138,2,Baja California,5,Playas de Rosarito,104,Don Pancho (Villa Pacífico)                                                                                   
139,2,Baja California,6,San Quintín,832,Santa María (Los Pinos)                                                                                       
140,2,Baja California,1,Ensenada,2539,Lucio Blanco [Granjas Agrícolas]                                                                              
141,2,Baja California,6,San Quintín,628,Nuevo Centro de Población Padre Kino                                                                          
142,2,Baja California,3,Tecate,139,Valle de las Palmas                                                                                           
143,2,Baja California,3,Tecate,1636,El Coyote                                                                                                     
144,2,Baja California,5,Playas de Rosarito,64,Ladrillera Pescador                                                                                           
145,2,Baja California,6,San Quintín,111,Ejido Francisco Villa (San Simón)                                                                             
146,2,Baja California,2,Mexicali,110,Colonia Venustiano Carranza (La Carranza)                                                                     
147,2,Baja California,3,Tecate,1603,Hacienda Tecate                                                                                               
148,2,Baja California,1,Ensenada,2183,Rancho Cañón Buena Vista (El Zorrillo)                                                                        
149,2,Baja California,5,Playas de Rosarito,193,Terrazas del Pacífico                                                                                         
150,2,Baja California,6,San Quintín,125,Ejido San Simón de Arriba                                                                                     
151,2,Baja California,2,Mexicali,5374,Familia Flores                                                                                                
152,2,Baja California,5,Playas de Rosarito,242,Mar de Calafia                                                                                                
153,2,Baja California,2,Mexicali,5663,Yuma Water                                                                                                    
154,2,Baja California,1,Ensenada,332,Los Alazanes                                                                                                  
155,2,Baja California,2,Mexicali,4995,Valle del Puebla [Parque Industrial]                                                                          
156,2,Baja California,6,San Quintín,529,Las Sirenas                                                                                                   
157,2,Baja California,1,Ensenada,151,La Misión                                                                                                     
158,2,Baja California,4,Tijuana,1961,Ley del Servicio Civil                                                                                        
159,2,Baja California,1,Ensenada,329,La Bufadora                                                                                                   
160,2,Baja California,4,Tijuana,1934,Lomas de San Pedro                                                                                            
161,2,Baja California,1,Ensenada,4763,Palillo                                                                                                       
162,2,Baja California,3,Tecate,17,El Bajío                                                                                                      
163,2,Baja California,2,Mexicali,4774,Buen Rostro                                                                                                   
164,2,Baja California,2,Mexicali,3570,El Encanto                                                                                                    
165,2,Baja California,1,Ensenada,3735,Parcela Número Sesenta (Ejido Nacionalista)                                                                   
166,2,Baja California,5,Playas de Rosarito,246,Las Flores                                                                                                    
167,2,Baja California,1,Ensenada,5285,Tierra Santa                                                                                                  
168,2,Baja California,2,Mexicali,2408,Familia Meza (Colonia Sonora)                                                                                 
169,2,Baja California,2,Mexicali,227,Ejido Sinaloa (Estación Kasey)                                                                                
170,2,Baja California,1,Ensenada,2490,El Parral                                                                                                     
171,2,Baja California,1,Ensenada,3946,Viñedos el Tigre                                                                                              
172,2,Baja California,1,Ensenada,2456,LA Cetto [Compañía Vinícola]                                                                                  
173,2,Baja California,1,Ensenada,271,Villa de Juárez (San Antonio de las Minas)                                                                    
174,2,Baja California,2,Mexicali,1798,Familia Barragán (Colonia Colorado Número Tres)                                                               
175,2,Baja California,4,Tijuana,1402,Rancho Cota                                                                                                   
176,2,Baja California,5,Playas de Rosarito,320,Centinela [Fraccionamiento]                                                                                   
177,2,Baja California,2,Mexicali,2952,Familia Figueroa                                                                                              
178,2,Baja California,2,Mexicali,3219,Rancho Viejo (Progreso Cuarta Sección)                                                                        
179,2,Baja California,4,Tijuana,2017,Thomas Alva Edison [Parque Industrial]                                                                        
180,2,Baja California,2,Mexicali,4796,Colonia Progreso Segunda Sección                                                                              
181,2,Baja California,2,Mexicali,2358,Familia Martínez (Ejido Hermosillo)                                                                           
182,2,Baja California,5,Playas de Rosarito,61,Kilómetro Cuarenta y Uno y Medio                                                                              
183,2,Baja California,5,Playas de Rosarito,363,Villas de Casa Blanca                                                                                         
184,2,Baja California,5,Playas de Rosarito,35,Gaviotas [Curios]                                                                                             
185,2,Baja California,2,Mexicali,4992,Nicoya [Parque Industrial]                                                                                    
186,2,Baja California,5,Playas de Rosarito,375,Artesanías Popotla                                                                                            
187,2,Baja California,2,Mexicali,129,Colonia Castro                                                                                                
188,2,Baja California,2,Mexicali,1477,Familia León (Colonia Colorado Número Tres)                                                                   
189,2,Baja California,2,Mexicali,2653,Familia Rubio García (Colonia Colorado Número Siete)                                                          
190,2,Baja California,5,Playas de Rosarito,194,Venustiano Carranza                                                                                           
191,2,Baja California,3,Tecate,1927,Familia Johnston (El Gran Conejo) [Rancho]                                                                    
192,2,Baja California,4,Tijuana,1110,Las Rosas                                                                                                     
193,2,Baja California,5,Playas de Rosarito,376,Artesanías Popotla Dos                                                                                        
194,2,Baja California,2,Mexicali,342,El Chorizo (Colonia Colorado 1 Campo León Uno)                                                                
195,2,Baja California,4,Tijuana,2113,Materiales Económicos del Campo                                                                               
196,2,Baja California,5,Playas de Rosarito,249,El Refugio                                                                                                    
197,2,Baja California,7,San Felipe                                                                  ,234,RV Park el Cachanilla                                                                                         
198,2,Baja California,4,Tijuana,262,Las Margaritas                                                                                                
199,2,Baja California,2,Mexicali,1542,Crucero del Toluca (Ejido Toluca)                                                                             
200,2,Baja California,5,Playas de Rosarito,384,Los Arroyos                                                                                                   
201,2,Baja California,5,Playas de Rosarito,241,Lomas del Morro                                                                                               
202,2,Baja California,3,Tecate,1834,El Nevado                                                                                                     
203,2,Baja California,3,Tecate,1451,La Granjita                                                                                                   
204,2,Baja California,3,Tecate,784,San José                                                                                                      
205,2,Baja California,2,Mexicali,4997,Compañía Siderúrgica de California                                                                            
206,2,Baja California,3,Tecate,884,La Paleta [Establo]                                                                                           
207,2,Baja California,6,San Quintín,116,Ejido Lic. Luis Echeverría Álvarez (Chula Vista)                                                              
208,2,Baja California,3,Tecate,1368,Los Federicos                                                                                                 
209,2,Baja California,4,Tijuana,1954,Miguel Alemán                                                                                                 
210,2,Baja California,4,Tijuana,1668,El Jojobal                                                                                                    
211,2,Baja California,4,Tijuana,1977,Valle de las Palmas [Etapa 1]                                                                                 
212,2,Baja California,4,Tijuana,1448,La Esperanza                                                                                                  
