clave_busqueda,id_ubicacion,cve_ent,cve_mun,cve_loc
22553,391,2,2,553
213756,392,2,1,3756
212151,393,2,1,2151
25222,394,2,5,222
231439,395,2,3,1439
212502,396,2,1,2502
224730,397,2,2,4730
222820,398,2,2,2820
241886,399,2,4,1886
24732,400,2,4,732
221317,401,2,2,1317
27140,402,2,7,140
225021,403,2,2,5021
242049,404,2,4,2049
213732,405,2,1,3732
224904,406,2,2,4904
213691,407,2,1,3691
23114,408,2,3,114
223135,409,2,2,3135
211025,410,2,1,1025
213382,411,2,1,3382
221975,412,2,2,1975
213625,413,2,1,3625
213606,414,2,1,3606
241393,415,2,4,1393
231023,416,2,3,1023
212157,417,2,1,2157
221896,418,2,2,1896
221545,419,2,2,1545
225468,420,2,2,5468
215172,421,2,1,5172
241604,422,2,4,1604
222424,423,2,2,2424
225223,424,2,2,5223
231904,425,2,3,1904
241385,426,2,4,1385
25414,427,2,5,414
222517,428,2,2,2517
212159,429,2,1,2159
27126,430,2,7,126
27155,431,2,7,155
27156,432,2,7,156
2732,433,2,7,32
2716,434,2,7,16
2724,435,2,7,24
27145,436,2,7,145
27269,437,2,7,269
25196,438,2,5,196
212691,439,2,1,2691
224747,440,2,2,4747
213173,441,2,1,3173
212221,442,2,1,2221
25301,443,2,5,301
27194,444,2,7,194
2747,445,2,7,47
2573,446,2,5,73
242012,447,2,4,2012
241811,448,2,4,1811
25386,449,2,5,386
231599,450,2,3,1599
221471,451,2,2,1471
215892,452,2,1,5892
213783,453,2,1,3783
223479,454,2,2,3479
231004,455,2,3,1004
27262,456,2,7,262
2699,457,2,6,99
24671,458,2,4,671
25377,459,2,5,377
231012,460,2,3,1012
2522,461,2,5,22
25427,462,2,5,427
241874,463,2,4,1874
2692,464,2,6,92
25188,465,2,5,188
25162,466,2,5,162
212141,467,2,1,2141
24542,468,2,4,542
25388,469,2,5,388
25279,470,2,5,279
212190,471,2,1,2190
25350,472,2,5,350
231604,473,2,3,1604
273,474,2,7,3
25419,475,2,5,419
25432,476,2,5,432
21600,477,2,1,600
2759,478,2,7,59
2722,479,2,7,22
2736,480,2,7,36
213329,481,2,1,3329
27190,482,2,7,190
27203,483,2,7,203
27221,484,2,7,221
212485,485,2,1,2485
2576,486,2,5,76
2583,487,2,5,83
25212,488,2,5,212
2643,489,2,6,43
212487,490,2,1,2487
26500,491,2,6,500
2781,492,2,7,81
25163,493,2,5,163
215771,494,2,1,5771
25197,495,2,5,197
215329,496,2,1,5329
224986,497,2,2,4986
231580,498,2,3,1580
26483,499,2,6,483
2559,500,2,5,59
26581,501,2,6,581
2668,502,2,6,68
215187,503,2,1,5187
21942,504,2,1,942
2649,505,2,6,49
213593,506,2,1,3593
25207,507,2,5,207
2551,508,2,5,51
215153,509,2,1,5153
213283,510,2,1,3283
215446,511,2,1,5446
215155,512,2,1,5155
25243,513,2,5,243
215907,514,2,1,5907
212776,515,2,1,2776
212463,516,2,1,2463
25316,517,2,5,316
26711,518,2,6,711
231482,519,2,3,1482
26223,520,2,6,223
26605,521,2,6,605
211015,522,2,1,1015
26654,523,2,6,654
2574,524,2,5,74
25314,525,2,5,314
21585,526,2,1,585
25227,527,2,5,227
213834,528,2,1,3834
2647,529,2,6,47
26473,530,2,6,473
27266,531,2,7,266
2575,532,2,5,75
2585,533,2,5,85
2531,534,2,5,31
211812,535,2,1,1812
241223,536,2,4,1223
241221,537,2,4,1221
215323,538,2,1,5323
242030,539,2,4,2030
2595,540,2,5,95
25401,541,2,5,401
241546,542,2,4,1546
25288,543,2,5,288
215163,544,2,1,5163
27153,545,2,7,153
26475,546,2,6,475
213658,547,2,1,3658
25220,548,2,5,220
24570,549,2,4,570
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
